reference,title,author,publication title,publication year,nb pMCI,nb sMCI,time to prediction (in years),dataset,socio-demographic features,APOE,cog - general,cog - domain,cog - new / specific,T1 - voxel based,T1 - roi (whole brain),T1 - selected roi,wm hyperintensities,PET FDG,PET Amyloid,PET Tau,CSF,Amyloid status,DTI,fMRI,EEG/MEG,Others,logitudinal,feature selection,advanced feature processing,trained on AD vs CN,algorithm,cross-validation method,AUC,accuracy,balanced accuracy,sensitivity,specificity
"Minhas, Khanum, Riaz, Khan, et al. 2017",Trajectory based predictive modeling of conversion from mild cognitive impairment to Alzheimer's disease,"Minhas, S.; Khanum, A.; Riaz, F.; Khan, S.A.; Alvi, A.","2017 IEEE EMBS International Conference on Biomedical and Health Informatics, BHI 2017",2017,85.0,76.0,2,ADNI,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,Non-linear SVM,10-fold,77.8,70.07,,,
Long et al. 2017,Prediction and classification of Alzheimer disease based on quantification of MRI deformation,"Long, X.; Chen, L.; Jiang, C.; Zhang, L.",PLoS ONE,2017,95.0,132.0,3,ADNI,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,Linear SVM,10-fold,93.0,89.0,88.5,86.0,91.0
Lei et al. 2017,Relational-Regularized Discriminative Sparse Learning for Alzheimer’s Disease Diagnosis,"Lei, Baiying; Yang, Peng; Wang, Tianfu; Chen, Siping; Ni, Dong",IEEE Transactions on Cybernetics,2017,167.0,226.0,1.5,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,Non-linear SVM,10-fold,,75.0,70.0,51.0,89.0
Kim et al. 2017,Clinical Dementia Rating Orientation Score as an Excellent Predictor of the Progression to Alzheimer's Disease in Mild Cognitive Impairment,"Kim, Jee Wook; Byun, Min Soo; Sohn, Bo Kyung; Yi, Dahyun; Seo, Eun Hyun; Choe, Young Min; Kim, Shin Gyeom; Choi, Hyo Jung; Lee, Jun Ho; Chee, Ik Seung; Woo, Jong Inn; Lee, Dong Young",Psychiatry Investigation,2017,22.0,37.0,2,a university dementia and memory disorder clinic,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Logistic regression,out of the bag,,78.0,,,
Junwei et Qiu 2017,Prediction of MCI to AD conversion using Laplace Eigenmaps learned from FDG and MRI images of AD patients and healthy controls,Junwei Ding; Qiu Huang,"2017 2nd International Conference on Image, Vision and Computing (ICIVC)",2017,31.0,183.0,1,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,Non-linear SVM,out of the bag,59.0,73.0,53.5,74.0,33.0
Hojjati et al. 2017,"Predicting conversion from MCI to AD using resting-state fMRI, graph theoretical approach and SVM","Hojjati, S.H.; Ebrahimzadeh, A.; Khazaee, A.; Babajani-Feremi, A.",Journal of Neuroscience Methods,2017,18.0,62.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,
Guo et al. 2017,Conversion discriminative analysis on mild cognitive impairment using multiple cortical features from MR images,"Guo, S.; Lai, C.; Wu, C.; Cen, G.",Frontiers in Aging Neuroscience,2017,40.0,46.0,2,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,Linear SVM,leave one out,,93.2,93.15,95.0,91.3
Guo et al. 2017,Conversion discriminative analysis on mild cognitive impairment using multiple cortical features from MR images,"Guo, S.; Lai, C.; Wu, C.; Cen, G.",Frontiers in Aging Neuroscience,2017,40.0,46.0,2,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,Linear SVM,leave one out,,98.8,98.75,97.5,100.0
Guo et al. 2017,Conversion discriminative analysis on mild cognitive impairment using multiple cortical features from MR images,"Guo, S.; Lai, C.; Wu, C.; Cen, G.",Frontiers in Aging Neuroscience,2017,40.0,46.0,2,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,Linear SVM,leave one out,,95.35,95.0,90.0,100.0
Guo et al. 2017,Conversion discriminative analysis on mild cognitive impairment using multiple cortical features from MR images,"Guo, S.; Lai, C.; Wu, C.; Cen, G.",Frontiers in Aging Neuroscience,2017,40.0,46.0,2,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,Linear SVM,leave one out,,96.51,96.575,97.5,95.65
Gavidia-Bovadilla et al. 2017,Early prediction of Alzheimer's disease using null longitudinal model-based classifiers,"Gavidia-Bovadilla, G.; Kanaan-Izquierdo, S.; Mataroa-Serrat, M.; Perera-Lluna, A.",PLoS ONE,2017,,,Not fixed,ADNI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Non-linear SVM,10-fold,,70.3,69.7,64.26,75.14
Gavidia-Bovadilla et al. 2017,Early prediction of Alzheimer's disease using null longitudinal model-based classifiers,"Gavidia-Bovadilla, G.; Kanaan-Izquierdo, S.; Mataroa-Serrat, M.; Perera-Lluna, A.",PLoS ONE,2017,,,Not fixed,ADNI,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Non-linear SVM,10-fold,,76.72,76.195,70.77,81.62
Frölich et al. 2017,Incremental value of biomarker combinations to predict progression of mild cognitive impairment to Alzheimer's dementia,"Frölich, L.; Peters, O.; Lewczuk, P.; Gruber, O.; Teipel, S.J.; Gertz, H.J.; Jahn, H.; Jessen, F.; Kurz, A.; Luckhaus, C.; Hüll, M.; Pantel, J.; Reischies, F.M.; Schröder, J.; Wagner, M.; Rienhoff, O.; Wolf, S.; Bauer, C.; Schuchhardt, J.; Heuser, I.; Rüther, E.; Henn, F.; Maier, W.; Wiltfang, J.; Kornhuber, J.",Alzheimer's Research and Therapy,2017,28.0,87.0,Not fixed,DCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SVM,repeated single split,77.0,,74.0,62.0,86.0
Frölich et al. 2017,Incremental value of biomarker combinations to predict progression of mild cognitive impairment to Alzheimer's dementia,"Frölich, L.; Peters, O.; Lewczuk, P.; Gruber, O.; Teipel, S.J.; Gertz, H.J.; Jahn, H.; Jessen, F.; Kurz, A.; Luckhaus, C.; Hüll, M.; Pantel, J.; Reischies, F.M.; Schröder, J.; Wagner, M.; Rienhoff, O.; Wolf, S.; Bauer, C.; Schuchhardt, J.; Heuser, I.; Rüther, E.; Henn, F.; Maier, W.; Wiltfang, J.; Kornhuber, J.",Alzheimer's Research and Therapy,2017,28.0,87.0,Not fixed,DCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SVM,repeated single split,74.0,,72.5,63.0,82.0
Frölich et al. 2017,Incremental value of biomarker combinations to predict progression of mild cognitive impairment to Alzheimer's dementia,"Frölich, L.; Peters, O.; Lewczuk, P.; Gruber, O.; Teipel, S.J.; Gertz, H.J.; Jahn, H.; Jessen, F.; Kurz, A.; Luckhaus, C.; Hüll, M.; Pantel, J.; Reischies, F.M.; Schröder, J.; Wagner, M.; Rienhoff, O.; Wolf, S.; Bauer, C.; Schuchhardt, J.; Heuser, I.; Rüther, E.; Henn, F.; Maier, W.; Wiltfang, J.; Kornhuber, J.",Alzheimer's Research and Therapy,2017,28.0,87.0,Not fixed,DCN,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SVM,repeated single split,73.0,,69.0,45.0,93.0
Frölich et al. 2017,Incremental value of biomarker combinations to predict progression of mild cognitive impairment to Alzheimer's dementia,"Frölich, L.; Peters, O.; Lewczuk, P.; Gruber, O.; Teipel, S.J.; Gertz, H.J.; Jahn, H.; Jessen, F.; Kurz, A.; Luckhaus, C.; Hüll, M.; Pantel, J.; Reischies, F.M.; Schröder, J.; Wagner, M.; Rienhoff, O.; Wolf, S.; Bauer, C.; Schuchhardt, J.; Heuser, I.; Rüther, E.; Henn, F.; Maier, W.; Wiltfang, J.; Kornhuber, J.",Alzheimer's Research and Therapy,2017,28.0,87.0,Not fixed,DCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SVM,repeated single split,81.0,,72.5,68.0,77.0
Frölich et al. 2017,Incremental value of biomarker combinations to predict progression of mild cognitive impairment to Alzheimer's dementia,"Frölich, L.; Peters, O.; Lewczuk, P.; Gruber, O.; Teipel, S.J.; Gertz, H.J.; Jahn, H.; Jessen, F.; Kurz, A.; Luckhaus, C.; Hüll, M.; Pantel, J.; Reischies, F.M.; Schröder, J.; Wagner, M.; Rienhoff, O.; Wolf, S.; Bauer, C.; Schuchhardt, J.; Heuser, I.; Rüther, E.; Henn, F.; Maier, W.; Wiltfang, J.; Kornhuber, J.",Alzheimer's Research and Therapy,2017,28.0,87.0,Not fixed,DCN,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SVM,repeated single split,83.0,,77.0,84.0,70.0
Frölich et al. 2017,Incremental value of biomarker combinations to predict progression of mild cognitive impairment to Alzheimer's dementia,"Frölich, L.; Peters, O.; Lewczuk, P.; Gruber, O.; Teipel, S.J.; Gertz, H.J.; Jahn, H.; Jessen, F.; Kurz, A.; Luckhaus, C.; Hüll, M.; Pantel, J.; Reischies, F.M.; Schröder, J.; Wagner, M.; Rienhoff, O.; Wolf, S.; Bauer, C.; Schuchhardt, J.; Heuser, I.; Rüther, E.; Henn, F.; Maier, W.; Wiltfang, J.; Kornhuber, J.",Alzheimer's Research and Therapy,2017,28.0,87.0,Not fixed,DCN,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SVM,repeated single split,82.0,,78.0,89.0,67.0
Ferreira et al. 2017,Improving prognostic prediction from mild cognitive impairment to Alzheimer’s disease using genetic algorithms,"Ferreira, F.L.; Cardoso, S.; Silva, D.; de Mendonça, A.; Madeira, S.C.",Advances in Intelligent Systems and Computing,2017,122.0,160.0,3,The Cognitive Complaints Cohort,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,Bayes,5-fold,86.0,80.83,81.0,82.0,80.0
Fayed et al. 2017,Magnetic resonance spectroscopy and brain volumetry in mild cognitive impairment. A prospective study,"Fayed, N.; Modrego, P.J.; García-Martí, G.; Sanz-Requena, R.; Marti-Bonmatí, L.",Magnetic Resonance Imaging,2017,15.0,33.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,
Çitak-Er et al. 2017,A novel convolutional neural network model based on voxel-based morphometry of imaging data in predicting the prognosis of patients with mild cognitive impairment,"Çitak-Er, F.; Goularas, D.; Ormeci, B.; The, Alzheimer's Disease Neuroimaging Initiative",Journal of Neurological Sciences,2017,140.0,165.0,No fixed time,ADNI,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,Neural network,10-fold,,78.7,78.5,80.6,76.4
Ayub et al. 2017,A novel approach for the prediction of conversion from mild cognitive impairment to Alzheimer's disease using MRI images,"Ayub, A.; Farhan, S.; Fahiem, M.A.; Tauseef, H.",Advances in Electrical and Computer Engineering,2017,30.0,30.0,1,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,Other,leave one out,98.33,,98.5,98.0,99.0
Ayub et al. 2017,A novel approach for the prediction of conversion from mild cognitive impairment to Alzheimer's disease using MRI images,"Ayub, A.; Farhan, S.; Fahiem, M.A.; Tauseef, H.",Advances in Electrical and Computer Engineering,2017,30.0,30.0,1,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,Other,leave one out,100.0,,100.0,100.0,100.0
Ayub et al. 2017,A novel approach for the prediction of conversion from mild cognitive impairment to Alzheimer's disease using MRI images,"Ayub, A.; Farhan, S.; Fahiem, M.A.; Tauseef, H.",Advances in Electrical and Computer Engineering,2017,30.0,30.0,1,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,Neural network,leave one out,98.33,,98.0,98.0,98.0
Ayub et al. 2017,A novel approach for the prediction of conversion from mild cognitive impairment to Alzheimer's disease using MRI images,"Ayub, A.; Farhan, S.; Fahiem, M.A.; Tauseef, H.",Advances in Electrical and Computer Engineering,2017,30.0,30.0,1,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,Bayes,leave one out,100.0,,100.0,100.0,100.0
Korolev et al. 2016,"Predicting Progression from Mild Cognitive Impairment to Alzheimer's Dementia Using Clinical, MRI, and Plasma Biomarkers via Probabilistic Pattern Classification","Korolev, Igor O.; Symonds, Laura L.; Bozoki, Andrea C.; Initiative, Alzheimer's Disease Neuroimaging",PLOS ONE,2016,139.0,120.0,3,ADNI,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,MKL,10-fold,83.0,,76.1,76.9,75.3
Korolev et al. 2016,"Predicting Progression from Mild Cognitive Impairment to Alzheimer's Dementia Using Clinical, MRI, and Plasma Biomarkers via Probabilistic Pattern Classification","Korolev, Igor O.; Symonds, Laura L.; Bozoki, Andrea C.; Initiative, Alzheimer's Disease Neuroimaging",PLOS ONE,2016,139.0,120.0,3,ADNI,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,MKL,10-fold,86.0,,80.05,80.3,79.8
Korolev et al. 2016,"Predicting Progression from Mild Cognitive Impairment to Alzheimer's Dementia Using Clinical, MRI, and Plasma Biomarkers via Probabilistic Pattern Classification","Korolev, Igor O.; Symonds, Laura L.; Bozoki, Andrea C.; Initiative, Alzheimer's Disease Neuroimaging",PLOS ONE,2016,139.0,120.0,3,ADNI,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,MKL,10-fold,87.0,,79.9,83.4,76.4
J. Young et al. 2016,An oblique approach to prediction of conversion to alzheimer’s disease with multikernel gaussian processes,"Young, J.; Modat, M.; Cardoso, M.J.; Ashburner, J.; Ourselin, S.",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2016,47.0,50.0,3,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MKL,leave one out,72.5,74.6,,,
Xu et al. 2016,Prediction of progressive mild cognitive impairment by multi-modal neuroimaging biomarkers,"Xu, L.; Wu, X.; Li, R.; Chen, K.; Long, Z.; Zhang, J.; Guo, X.; Yao, L.",Journal of Alzheimer's Disease,2016,27.0,83.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,
Wei et al. 2016,Prediction of conversion from mild cognitive impairment to Alzheimer's disease using MRI and structural network features,"Wei, R.; Li, C.; Fogelson, N.; Li, L.",Frontiers in Aging Neuroscience,2016,76.0,83.0,3,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,Non-linear SVM,leave one out,73.46,66.04,65.58,55.26,75.9
Wei et al. 2016,Prediction of conversion from mild cognitive impairment to Alzheimer's disease using MRI and structural network features,"Wei, R.; Li, C.; Fogelson, N.; Li, L.",Frontiers in Aging Neuroscience,2016,61.0,83.0,0.5,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,Non-linear SVM,leave one out,81.83,76.39,74.955,65.57,84.34
Wei et al. 2016,Prediction of conversion from mild cognitive impairment to Alzheimer's disease using MRI and structural network features,"Wei, R.; Li, C.; Fogelson, N.; Li, L.",Frontiers in Aging Neuroscience,2016,63.0,83.0,1,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,Non-linear SVM,leave one out,78.5,74.66,73.505,65.08,81.93
Wei et al. 2016,Prediction of conversion from mild cognitive impairment to Alzheimer's disease using MRI and structural network features,"Wei, R.; Li, C.; Fogelson, N.; Li, L.",Frontiers in Aging Neuroscience,2016,42.0,83.0,1.5,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,Non-linear SVM,leave one out,77.29,73.91,73.81,70.51,77.11
Wang et al. 2016,Multimodal classification of mild cognitive impairment based on partial least squares,"Wang, P.; Chen, K.; Yao, L.; Hu, B.; Wu, X.; Zhang, J.; Ye, Q.; Guo, X.",Journal of Alzheimer's Disease,2016,64.0,65.0,3,ADNI,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,OPLS,leave one out,,86.05,86.00999999999999,81.25,90.77
Rodriguez et al. 2016,"Short-term MCI-to-AD prediction using MRI, neuropsychological scores and ensemble tree learning techniques","Rodriguez, J.; Ramirez, J.; Gorriz, J.M.; Padilla, P.; Ortiz, A.","2015 IEEE Nuclear Science Symposium and Medical Imaging Conference, NSS/MIC 2015",2016,67.0,61.0,0.5,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,Random Forest,out of the bag,,70.0,,,
Rodriguez et al. 2016,"Short-term MCI-to-AD prediction using MRI, neuropsychological scores and ensemble tree learning techniques","Rodriguez, J.; Ramirez, J.; Gorriz, J.M.; Padilla, P.; Ortiz, A.","2015 IEEE Nuclear Science Symposium and Medical Imaging Conference, NSS/MIC 2015",2016,67.0,61.0,0.5,ADNI,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,Random Forest,out of the bag,,70.0,,,
Rodriguez et al. 2016,"Short-term MCI-to-AD prediction using MRI, neuropsychological scores and ensemble tree learning techniques","Rodriguez, J.; Ramirez, J.; Gorriz, J.M.; Padilla, P.; Ortiz, A.","2015 IEEE Nuclear Science Symposium and Medical Imaging Conference, NSS/MIC 2015",2016,67.0,61.0,0.5,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,Random Forest,out of the bag,,72.5,,,
Rodriguez et al. 2016,"Short-term MCI-to-AD prediction using MRI, neuropsychological scores and ensemble tree learning techniques","Rodriguez, J.; Ramirez, J.; Gorriz, J.M.; Padilla, P.; Ortiz, A.","2015 IEEE Nuclear Science Symposium and Medical Imaging Conference, NSS/MIC 2015",2016,67.0,61.0,0.5,ADNI,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,Random Forest,out of the bag,,82.5,,,
Quaranta et al. 2016,Are raw scores on memory tests better than age- and education- adjusted scores for predicting progression from amnesic mild cognitive impairment to Alzheimer disease?,"Quaranta, D.; Gainotti, G.; Vita, M.G.; Lacidogna, G.; Scaricamazza, E.; Piccininni, C.; Marra, C.",Current Alzheimer Research,2016,80.0,190.0,3,"Other (Neuropsychology Serv-
ice of the University Hospital ‘Policlinico Gemelli’ in Rome)",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,Logistic regression,None,,74.00999999999999,,,
Ota et al. 2016,Prediction of Alzheimer's Disease in Amnestic Mild Cognitive Impairment Subtypes: Stratification Based on Imaging Biomarkers,"Ota, K.; Oishi, N.; Ito, K.; Fukuyama, H.",Journal of Alzheimer's Disease,2016,84.0,75.0,3,SEAD-J and ADNI,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Logistic regression,leave one out,70.0,,,,
Nesteruk et al. 2016,Combined use of biochemical and volumetric biomarkers to assess the risk of conversion of mild cognitive impairment to Alzheimer's disease,"Nesteruk, M.; Nesteruk, T.; Styczynska, M.; Mandecka, M.; Barczak, A.; Barcikowska, M.",Folia Neuropathologica,2016,9.0,31.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,
Mazzeo et al. 2016,Combining Cerebrospinal Fluid Biomarkers and Neuropsychological Assessment: A Simple and Cost-Effective Algorithm to Predict the Progression from Mild Cognitive Impairment to Alzheimer's Disease Dementia,"Mazzeo, S.; Santangelo, R.; Bernasconi, M.P.; Cecchetti, G.; Fiorino, A.; Pinto, P.; Passerini, G.; Falautano, M.; Comi, G.; Magnani, G.",Journal of Alzheimer's Disease,2016,37.0,59.0,Not fixed,"Admissions to the 
Neurology department
of San Raffaele, Milan
(jan 2009 - jan 2015)",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Logistic regression,None,,86.0,,,96.0
López et al. 2016,Searching for Primary Predictors of Conversion from Mild Cognitive Impairment to Alzheimer's Disease: A Multivariate Follow-Up Study,"López, M.E.; Turrero, A.; Cuesta, P.; López-Sanz, D.; Bruña, R.; Marcos, A.; Gil, P.; Yus, M.; Barabash, A.; Cabranes, J.A.; Maestú, F.; Fernández, A.",Journal of Alzheimer's Disease,2016,12.0,21.0,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,
H. Liu et al. 2016,A semi-mechanism approach based on MRI and proteomics for prediction of conversion from mild cognitive impairment to Alzheimer's disease,"Liu, H.; Zhou, X.; Jiang, H.; He, H.; Liu, X.",Scientific Reports,2016,99.0,217.0,1.5,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,Bayes,10-fold,82.0,96.0,79.0,95.0,63.0
Lei et al. 2016,Discriminative learning for Alzheimer's disease diagnosis via canonical correlation analysis and multimodal fusion,"Lei, B.; Chen, S.; Ni, D.; Wang, T.",Frontiers in Aging Neuroscience,2016,76.0,128.0,Not fixed,ADNI,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,Non-linear SVM,10-fold,81.52,80.12,75.74000000000001,62.42,89.06
Lei et al. 2016,Discriminative learning for Alzheimer's disease diagnosis via canonical correlation analysis and multimodal fusion,"Lei, B.; Chen, S.; Ni, D.; Wang, T.",Frontiers in Aging Neuroscience,2016,76.0,128.0,Not fixed,ADNI,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,Non-linear SVM,10-fold,82.45,79.92,75.245,59.37,91.12
Lei et al. 2016,Discriminative learning for Alzheimer's disease diagnosis via canonical correlation analysis and multimodal fusion,"Lei, B.; Chen, S.; Ni, D.; Wang, T.",Frontiers in Aging Neuroscience,2016,76.0,128.0,Not fixed,ADNI,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,Non-linear SVM,10-fold,79.67,81.57,78.24,66.52,89.96
Lei et al. 2016,Discriminative learning for Alzheimer's disease diagnosis via canonical correlation analysis and multimodal fusion,"Lei, B.; Chen, S.; Ni, D.; Wang, T.",Frontiers in Aging Neuroscience,2016,76.0,128.0,Not fixed,ADNI,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,Non-linear SVM,10-fold,85.27,82.75,86.185,77.29,95.08
Lehallier et al. 2016,Combined plasma and cerebrospinal fluid signature for the prediction of midterm progression from mild cognitive impairment to Alzheimer disease,"Lehallier, B.; Essioux, L.; Gayan, J.; Alexandridis, R.; Nikolcheva, T.; Wyss-Coray, T.; Britschgi, M.",JAMA Neurology,2016,30.0,59.0,1.5,ADNI,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,Regularized logistic regression,repeated single split,,,72.5,70.0,75.0
Lehallier et al. 2016,Combined plasma and cerebrospinal fluid signature for the prediction of midterm progression from mild cognitive impairment to Alzheimer disease,"Lehallier, B.; Essioux, L.; Gayan, J.; Alexandridis, R.; Nikolcheva, T.; Wyss-Coray, T.; Britschgi, M.",JAMA Neurology,2016,40.0,45.0,2,ADNI,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,Regularized logistic regression,repeated single split,,,60.5,33.0,88.0
